date,fish_number,species,sex,dna,whatman_sheet,whatman_cell,location
6/26/24,1,SK,UN,Y,1,1,"Black Pt, Area 3-4"
6/26/24,2,SK,UN,Y,1,2,"Black Pt, Area 3-4"
6/26/24,3,SK,UN,Y,1,3,"Black Pt, Area 3-4"
6/26/24,4,SK,UN,Y,1,4,"Black Pt, Area 3-4"
6/26/24,5,SK,UN,Y,1,5,"Black Pt, Area 3-4"
6/26/24,6,SK,UN,Y,1,6,"Black Pt, Area 3-4"
6/26/24,7,SK,UN,Y,1,7,"Black Pt, Area 3-4"
6/26/24,8,SK,UN,Y,1,8,"Black Pt, Area 3-4"
6/26/24,9,SK,UN,Y,1,9,"Black Pt, Area 3-4"
6/26/24,10,SK,UN,Y,1,10,"Black Pt, Area 3-4"
6/26/24,11,SK,UN,Y,1,11,"Black Pt, Area 3-4"
6/26/24,12,SK,UN,Y,1,12,"Black Pt, Area 3-4"
6/26/24,13,SK,UN,Y,1,13,"Black Pt, Area 3-4"
6/26/24,14,SK,UN,Y,1,14,"Black Pt, Area 3-4"
6/26/24,15,SK,UN,Y,1,15,"Black Pt, Area 3-4"
6/26/24,16,SK,UN,Y,1,16,"Black Pt, Area 3-4"
6/26/24,17,SK,UN,Y,1,17,"Black Pt, Area 3-4"
6/26/24,18,SK,UN,Y,1,18,"Black Pt, Area 3-4"
6/26/24,19,SK,UN,Y,1,19,"Black Pt, Area 3-4"
6/26/24,20,SK,UN,Y,1,20,"Black Pt, Area 3-4"
6/26/24,21,SK,UN,Y,2,21,"Black Pt, Area 3-4"
6/26/24,22,SK,UN,Y,2,22,"Black Pt, Area 3-4"
6/26/24,23,SK,UN,Y,2,23,"Black Pt, Area 3-4"
6/26/24,24,SK,UN,Y,2,24,"Black Pt, Area 3-4"
6/26/24,25,SK,UN,Y,2,25,"Black Pt, Area 3-4"
6/26/24,26,SK,UN,Y,2,26,N. Finlayson Area 4-5
6/26/24,27,SK,UN,Y,2,27,N. Finlayson Area 4-5
6/26/24,28,SK,UN,Y,2,28,N. Finlayson Area 4-5
6/26/24,29,SK,UN,Y,2,29,N. Finlayson Area 4-5
6/26/24,30,SK,UN,Y,2,30,N. Finlayson Area 4-5
6/26/24,31,SK,UN,Y,2,31,N. Finlayson Area 4-5
6/26/24,32,SK,UN,Y,2,32,N. Finlayson Area 4-5
6/26/24,33,SK,UN,Y,2,33,N. Finlayson Area 4-5
6/26/24,34,SK,UN,Y,2,34,N. Finlayson Area 4-5
6/26/24,35,SK,UN,Y,2,35,N. Finlayson Area 4-5
6/26/24,36,SK,UN,Y,2,36,N. Finlayson Area 4-5
6/26/24,37,SK,UN,Y,2,37,N. Finlayson Area 4-5
6/26/24,38,SK,UN,Y,2,38,N. Finlayson Area 4-5
6/26/24,39,SK,UN,,2,39,N. Finlayson Area 4-5
6/26/24,40,SK,UN,,2,40,N. Finlayson Area 4-5
6/26/24,41,SK,UN,Y,3,41,N. Finlayson Area 4-5
6/26/24,42,SK,UN,Y,3,42,N. Finlayson Area 4-5
6/26/24,43,SK,UN,Y,3,43,N. Finlayson Area 4-5
